sentiment_simple,trades,total_pnl,avg_pnl,win_rate,avg_size_usd
Fear,133871,6699925.190574,50.047621894017375,0.41514592406122314,5259.977836723413
Greed,43251,3366582.02715,77.8382471422626,0.453492404799889,3581.6615130286004
Neutral,7141,158742.378078,22.229712656210616,0.3171824674415348,3058.8481095084726
