Account,sentiment_simple,trades,total_pnl,avg_pnl,win_rate,avg_size_usd
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,3356,1927735.720035,574.4146960771752,0.40554231227651966,16345.241939809297
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,462,-327505.900056,-708.8872295584415,0.025974025974025976,14810.891818181817
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,3533,17098.727055,4.839718951316161,0.43504104160769885,1693.3516841211435
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,320,20607.446093000002,64.39826904062501,0.53125,2492.74990625
0x271b280974205ca63b716753467d5a371de622ab,Fear,1136,29970.928216,26.382859345070422,0.43045774647887325,10836.90096830986
0x271b280974205ca63b716753467d5a371de622ab,Greed,5,1793.1602149999999,358.63204299999995,0.8,31941.660000000003
0x271b280974205ca63b716753467d5a371de622ab,Neutral,5,-1.0,-0.2,0.0,6070.2
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,6794,10435.095669,1.5359281231969386,0.4327347659699735,533.2378127759788
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,6472,121880.386016,18.831950867737948,0.4437577255871446,483.5901143386898
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,2471,116412.254606,47.11139401295022,0.5337919870497774,3205.000631323351
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,763,52215.729448,68.43476991874181,0.4744429882044561,2941.8256880733943
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,349,-59349.677108,-170.05638139828082,0.2636103151862464,1648.5575358166188
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,188,31429.354871,167.17741952659574,0.43617021276595747,2829.2417553191485
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,80,215.754798,2.696934975,0.1,767.24775
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,3445,-20526.462526,-5.958334550362845,0.3193033381712627,4800.430827285922
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,144,34983.381862,242.94015181944445,0.5277777777777778,4554.800138888889
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,141,45883.628955,325.41580819148936,0.5602836879432624,4338.219787234042
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,191,7612.618288,39.856640251308896,0.41361256544502617,2786.4265445026176
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,258,183403.024142,710.8644346589148,0.2441860465116279,4563.756162790698
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,125,16102.56859,128.82054872,0.216,6480.62816
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,671,110527.905862,164.72117118032787,0.4828614008941878,2807.6623994038746
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,131,160450.518105,1224.8131153053434,0.2900763358778626,2976.583740458015
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,249,145563.448374,584.5921621445783,0.9518072289156626,1759.9534939759035
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,4629,32683.214094,7.060534476992871,0.36552171095268954,541.9522812702527
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3711,69282.42904,18.6694769711668,0.3381837779574239,494.23683912691996
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,3806,613327.827224,161.14761619127694,0.4952706253284288,8998.349072517078
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,328,61076.167808,186.20782868292682,0.4115853658536585,8444.161189024391
