Account,sentiment_simple,trades,total_pnl,avg_pnl,win_rate,avg_size_usd
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,3810,-9125.157325,-2.3950544160104985,0.32545931758530183,772.3728871391077
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,2080,100502.420808,48.31847154230769,0.3903846153846154,3430.149134615385
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,724,8695.357326,12.010162052486187,0.07596685082872928,2936.1985911602205
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,9274,40314.808014,4.347078716195816,0.32003450506793185,1157.8793541082598
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,4211,49180.714882,11.679105885062931,0.418665400142484,1636.15022559962
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,95,19451.742477,204.75518396842105,0.8842105263157894,820.6771578947369
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,283,67900.247545,239.93020333922263,0.5477031802120141,1684.2025795053005
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,39,-14505.50575,-371.9360448717949,0.0,7877.326666666667
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,182,8751.751449,48.08654642307692,0.2692307692307692,3072.9576923076925
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,190,20925.513222,110.13428011578948,0.5526315789473685,3387.3391578947367
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,525,21703.816512999998,41.34060288190476,0.3238095238095238,8441.060742857142
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,9,55.01524,6.1128044444444445,0.2222222222222222,1862.9299999999998
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,7380,553818.000465,75.04308949390244,0.3910569105691057,1818.587241192412
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,5387,1424518.243984,264.4362806727307,0.3116762576573232,7008.686485984778
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,1643,62586.1816,38.09262422398053,0.20998174071819842,2875.2178940961658
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,4838,22488.500821,4.648305254443986,0.4386109962794543,22504.555828854896
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,21190,940157.212682,44.36796662019821,0.46753185464841907,3210.7751864086836
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,2211,325441.97721599997,147.19221040976933,0.3722297602894618,8103.972912709181
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,267,11671.68,43.71415730337079,0.15355805243445692,2725.7805992509366
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,26651,126967.976166,4.764098013808112,0.3848636073693295,1554.8373344339798
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,9883,684215.002602,69.23150891449964,0.5692603460487706,2693.2837964180917
